Game Turn, Event, Attacker, Unit, Defender, Unit, Mayhem, Current Total
3, Barb Combat, 10, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 0.5
4, Barb Combat, 10, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 1.0
4, Barb Combat, 14, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 1.5
4, Barb Combat, 14, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 2.0
4, Barb Combat, 17, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 2.5
4, Barb Combat, 22, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 3.0
3, Barb Combat, 10, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 0.5
3, Barb Combat, 17, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 1.0
3, Barb Combat, 17, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 1.5
4, Barb Combat, 1, UNIT_GAUL_GAESATAE, 63, UNIT_SPEARMAN, 0.5, 2.0
4, Barb Combat, 17, District, 63, UNIT_SCOUT, 0.5, 2.5
4, Death, 17, DISTRICT_CITY_CENTER, 63, UNIT_SCOUT, 1.0, 3.5
5, Barb Combat, 1, UNIT_GAUL_GAESATAE, 63, UNIT_SPEARMAN, 0.5, 4.0
5, Barb Death, 1, UNIT_GAUL_GAESATAE, 63, UNIT_SPEARMAN, 0.5, 4.5
5, Barb Combat, 14, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 5.0
8, Barb Combat, 21, District, 63, UNIT_GALLEY, 0.5, 5.5
8, Barb Combat, 24, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 6.0
9, Barb Combat, 6, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 6.5
9, Barb Combat, 6, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 7.0
9, Barb Combat, 7, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 7.5
10, Barb Combat, 4, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 8.0
10, Barb Combat, 6, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 8.5
10, Barb Combat, 6, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 9.0
10, Barb Death, 6, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 9.5
10, Barb Combat, 7, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 10.0
10, Barb Combat, 21, District, 63, UNIT_GALLEY, 0.5, 10.5
11, Barb Combat, 10, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 11.0
11, Barb Death, 10, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 11.5
11, Barb Combat, 14, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 12.0
11, Barb Combat, 16, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 12.5
11, Barb Combat, 18, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 13.0
12, Barb Combat, 7, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 13.5
12, Barb Death, 7, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 14.0
12, Barb Combat, 10, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 14.5
12, Barb Combat, 13, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 15.0
12, Barb Death, 13, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 15.5
12, Barb Combat, 14, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 16.0
12, Barb Combat, 14, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 16.5
12, Barb Combat, 21, District, 63, UNIT_GALLEY, 0.5, 17.0
13, Barb Combat, 1, UNIT_GAUL_GAESATAE, 63, UNIT_SCOUT, 0.5, 17.5
13, Barb Combat, 5, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 18.0
13, Barb Combat, 10, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 18.5
13, Barb Combat, 14, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 19.0
13, Barb Death, 14, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 19.5
13, Barb Combat, 18, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 20.0
13, Barb Combat, 63, UNIT_QUADRIREME, 18, UNIT_WARRIOR, 0.5, 20.5
13, Barb Death, 63, UNIT_QUADRIREME, 18, UNIT_WARRIOR, 0.5, 21.0
13, Unit Capture, 63, UNIT_GALLEY, 5, UNIT_BUILDER, 1.0, 22.0
14, Barb Combat, 5, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 22.5
14, Barb Combat, 10, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 23.0
14, Barb Combat, 21, District, 63, UNIT_GALLEY, 0.5, 23.5
14, Barb Combat, 63, UNIT_QUADRIREME, 18, UNIT_WARRIOR, 0.5, 24.0
14, Barb Combat, 63, UNIT_SPEARMAN, 18, UNIT_WARRIOR, 0.5, 24.5
15, Barb Combat, 3, UNIT_AZTEC_EAGLE_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 25.0
15, Barb Combat, 3, UNIT_AZTEC_EAGLE_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 25.5
15, Barb Combat, 10, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 26.0
15, Barb Combat, 24, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 26.5
15, Barb Combat, 63, UNIT_QUADRIREME, 18, UNIT_WARRIOR, 0.5, 27.0
16, Barb Combat, 3, UNIT_AZTEC_EAGLE_WARRIOR, 63, UNIT_SCOUT, 0.5, 27.5
16, Barb Combat, 3, UNIT_AZTEC_EAGLE_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 28.0
16, Barb Death, 3, UNIT_AZTEC_EAGLE_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 28.5
16, Barb Combat, 5, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 29.0
16, Barb Death, 5, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 29.5
16, Barb Combat, 20, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 30.0
16, Barb Combat, 21, District, 63, UNIT_GALLEY, 0.5, 30.5
16, Barb Combat, 63, UNIT_SCOUT, 3, UNIT_AZTEC_EAGLE_WARRIOR, 0.5, 31.0
16, Barb Death, 3, UNIT_AZTEC_EAGLE_WARRIOR, 63, UNIT_SCOUT, 0.5, 31.5
16, Barb Combat, 63, UNIT_SPEARMAN, 2, UNIT_SLINGER, 0.5, 32.0
16, Barb Combat, 63, UNIT_QUADRIREME, 18, UNIT_WARRIOR, 0.5, 32.5
16, Barb Death, 63, UNIT_QUADRIREME, 18, UNIT_WARRIOR, 0.5, 33.0
17, Unit Capture, 5, UNIT_GALLEY, 63, UNIT_BUILDER, 1.0, 34.0
17, Barb Combat, 19, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 34.5
18, Barb Combat, 10, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 35.0
18, Barb Combat, 10, District, 63, UNIT_SCOUT, 0.5, 35.5
18, Barb Combat, 16, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 36.0
18, Barb Combat, 20, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 36.5
18, Barb Combat, 63, UNIT_WARRIOR, 10, UNIT_WARRIOR, 0.5, 37.0
18, Barb Death, 63, UNIT_WARRIOR, 10, UNIT_WARRIOR, 0.5, 37.5
18, Barb Combat, 63, UNIT_QUADRIREME, 18, UNIT_WARRIOR, 0.5, 38.0
19, Barb Combat, 5, UNIT_GALLEY, 63, UNIT_QUADRIREME, 0.5, 38.5
19, Barb Combat, 16, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 39.0
19, Barb Death, 16, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 39.5
19, Barb Combat, 17, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 40.0
19, Barb Combat, 20, District, 63, UNIT_SCOUT, 0.5, 40.5
19, Death, 20, DISTRICT_CITY_CENTER, 63, UNIT_SCOUT, 1.0, 41.5
19, Barb Combat, 63, UNIT_WARRIOR, 24, UNIT_WARRIOR, 0.5, 42.0
19, Barb Combat, 63, UNIT_WARRIOR, 2, UNIT_SLINGER, 0.5, 42.5
19, Barb Death, 63, UNIT_WARRIOR, 2, UNIT_SLINGER, 0.5, 43.0
19, Barb Combat, 63, UNIT_SPEARMAN, 2, UNIT_WARRIOR, 0.5, 43.5
19, Barb Death, 2, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 44.0
19, Barb Combat, 63, UNIT_QUADRIREME, 18, UNIT_WARRIOR, 0.5, 44.5
20, Barb Combat, 5, UNIT_SCOUT, 63, UNIT_SPEARMAN, 0.5, 45.0
20, Barb Death, 5, UNIT_SCOUT, 63, UNIT_SPEARMAN, 0.5, 45.5
20, Barb Combat, 5, UNIT_GALLEY, 63, UNIT_QUADRIREME, 0.5, 46.0
20, Barb Death, 5, UNIT_GALLEY, 63, UNIT_QUADRIREME, 0.5, 46.5
20, Barb Combat, 16, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 47.0
20, Barb Combat, 16, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 47.5
20, Barb Combat, 17, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 48.0
20, Barb Combat, 63, UNIT_SCOUT, 2, UNIT_WARRIOR, 0.5, 48.5
20, Barb Death, 2, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 49.0
20, Barb Combat, 63, UNIT_WARRIOR, 1, UNIT_GAUL_GAESATAE, 0.5, 49.5
21, Barb Combat, 1, UNIT_GAUL_GAESATAE, 63, UNIT_WARRIOR, 0.5, 50.0
21, Barb Combat, 2, UNIT_WARRIOR, 63, UNIT_WARRIOR, 0.5, 50.5
21, Barb Combat, 7, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 51.0
21, Barb Combat, 16, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 51.5
21, Barb Death, 16, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 52.0
21, Barb Combat, 63, UNIT_GALLEY, 5, UNIT_GALLEY, 0.5, 52.5
21, Barb Combat, 63, UNIT_WARRIOR, 2, UNIT_WARRIOR, 0.5, 53.0
21, Barb Death, 2, UNIT_WARRIOR, 63, UNIT_WARRIOR, 0.5, 53.5
21, Barb Combat, 63, UNIT_WARRIOR, 1, UNIT_GAUL_GAESATAE, 0.5, 54.0
21, Barb Death, 1, UNIT_GAUL_GAESATAE, 63, UNIT_WARRIOR, 0.5, 54.5
22, Barb Combat, 5, UNIT_GALLEY, 63, UNIT_GALLEY, 0.5, 55.0
22, Barb Combat, 15, District, 63, UNIT_GALLEY, 0.5, 55.5
22, Barb Combat, 17, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 56.0
22, Barb Combat, 63, UNIT_SLINGER, 9, UNIT_WARRIOR, 0.5, 56.5
22, Barb Combat, 63, UNIT_WARRIOR, 24, UNIT_WARRIOR, 0.5, 57.0
22, Barb Death, 63, UNIT_WARRIOR, 24, UNIT_WARRIOR, 0.5, 57.5
22, Barb Combat, 63, UNIT_GALLEY, 5, UNIT_GALLEY, 0.5, 58.0
22, Barb Death, 5, UNIT_GALLEY, 63, UNIT_GALLEY, 0.5, 58.5
22, Barb Combat, 63, UNIT_WARRIOR, 9, UNIT_WARRIOR, 0.5, 59.0
23, Barb Combat, 9, UNIT_WARRIOR, 63, UNIT_SLINGER, 0.5, 59.5
23, Barb Combat, 17, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 60.0
23, Barb Combat, 63, UNIT_SLINGER, 9, UNIT_WARRIOR, 0.5, 60.5
23, Barb Combat, 63, UNIT_WARRIOR, 9, UNIT_SLINGER, 0.5, 61.0
23, Barb Death, 9, UNIT_SLINGER, 63, UNIT_WARRIOR, 0.5, 61.5
24, Barb Combat, 9, UNIT_WARRIOR, 63, UNIT_WARRIOR, 0.5, 62.0
24, Barb Combat, 15, District, 63, UNIT_GALLEY, 0.5, 62.5
24, Barb Combat, 17, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 63.0
24, Barb Death, 17, UNIT_WARRIOR, 63, UNIT_SCOUT, 0.5, 63.5
24, Barb Combat, 63, UNIT_SLINGER, 9, UNIT_WARRIOR, 0.5, 64.0
24, Barb Death, 63, UNIT_SLINGER, 9, UNIT_WARRIOR, 0.5, 64.5
24, Barb Combat, 63, UNIT_WARRIOR, 9, UNIT_WARRIOR, 0.5, 65.0
24, Barb Combat, 63, UNIT_GALLEY, 5, UNIT_GALLEY, 0.5, 65.5
24, Barb Combat, 63, UNIT_SLINGER, 20, UNIT_WARRIOR, 0.5, 66.0
24, Barb Combat, 63, UNIT_SPEARMAN, 8, UNIT_SCOUT, 0.5, 66.5
24, Barb Combat, 63, UNIT_SPEARMAN, 0, UNIT_WARRIOR, 0.5, 67.0
25, Barb Combat, 0, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 67.5
25, Barb Combat, 5, UNIT_GALLEY, 63, UNIT_GALLEY, 0.5, 68.0
25, Barb Combat, 9, UNIT_WARRIOR, 63, UNIT_WARRIOR, 0.5, 68.5
25, Barb Combat, 9, UNIT_WARRIOR, 63, UNIT_SLINGER, 0.5, 69.0
25, Barb Death, 9, UNIT_WARRIOR, 63, UNIT_SLINGER, 0.5, 69.5
25, Barb Combat, 20, UNIT_WARRIOR, 63, UNIT_SLINGER, 0.5, 70.0
25, Barb Combat, 63, UNIT_SLINGER, 9, UNIT_WARRIOR, 0.5, 70.5
25, Barb Combat, 63, UNIT_GALLEY, 5, UNIT_GALLEY, 0.5, 71.0
25, Barb Death, 5, UNIT_GALLEY, 63, UNIT_GALLEY, 0.5, 71.5
25, Barb Combat, 63, UNIT_SLINGER, 20, UNIT_WARRIOR, 0.5, 72.0
26, Barb Combat, 0, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 72.5
26, Barb Death, 0, UNIT_WARRIOR, 63, UNIT_SPEARMAN, 0.5, 73.0
