Game Turn, Player, Regional Strength, Enemy Strength, Other Strength, Current Explorers, Desired Explorers, Fav Tech, Combat Desire
1, 0, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 0, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 1, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 2, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 3, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 4, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 5, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 6, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 7, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 8, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 9, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 10, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 11, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 12, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 13, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 14, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 15, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 16, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 17, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 18, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 19, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 20, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 21, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 22, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 23, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 24, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
2, 0, 0, 0, 0, 1:0, 5:1, NO_TECH, 0.0
2, 1, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.0
2, 2, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.0
2, 3, 38, 0, 0, 2:0, 0:0, NO_TECH, 0.0
2, 4, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.0
2, 5, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.0
2, 6, 0, 0, 0, 1:0, 5:1, NO_TECH, 0.0
2, 7, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.0
2, 8, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.0
2, 9, 0, 0, 0, 1:0, 5:1, NO_TECH, 0.0
2, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 12, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 14, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 18, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 19, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 20, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 21, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 22, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 23, 55, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 24, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
3, 0, 0, 0, 0, 1:0, 5:1, NO_TECH, 0.0
3, 1, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.1
3, 2, 20, 0, 0, 1:0, 1:1, NO_TECH, 0.1
3, 3, 28, 0, 0, 1:0, 1:1, NO_TECH, 0.1
3, 4, 20, 0, 0, 1:0, 1:1, NO_TECH, 0.1
3, 5, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.1
3, 6, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.0
3, 7, 20, 0, 20, 1:0, 1:1, NO_TECH, 0.1
3, 8, 20, 0, 0, 1:0, 1:1, NO_TECH, 0.1
3, 9, 0, 0, 0, 1:0, 5:1, NO_TECH, 0.0
3, 10, 40, 25, 0, 0:0, 0:0, NO_TECH, 0.0
3, 11, 40, 10, 20, 0:0, 0:0, NO_TECH, 0.0
3, 12, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 14, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 17, 40, 35, 0, 0:0, 0:0, NO_TECH, 0.0
3, 18, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 19, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 20, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 21, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 22, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 23, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 24, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
4, 0, 0, 0, 0, 1:0, 5:1, NO_TECH, 0.0
4, 1, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.1
4, 2, 20, 0, 0, 1:0, 1:1, NO_TECH, 0.1
4, 3, 28, 0, 20, 1:0, 2:1, NO_TECH, 0.1
4, 4, 20, 0, 0, 1:0, 1:1, NO_TECH, 0.1
4, 5, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.1
4, 6, 20, 0, 0, 1:0, 1:1, NO_TECH, 0.1
4, 7, 20, 0, 20, 1:0, 1:1, NO_TECH, 0.1
4, 8, 20, 10, 0, 1:0, 1:1, NO_TECH, 0.1
4, 9, 0, 0, 0, 1:0, 5:1, NO_TECH, 0.0
4, 10, 40, 25, 28, 0:0, 0:0, NO_TECH, 0.0
4, 11, 40, 10, 20, 0:0, 0:0, NO_TECH, 0.0
4, 12, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
