Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
2, LOC_CITY_NAME_OTTAWA, 4.8, UNIT_SCOUT, 4.8, 30, 0.0
2, LOC_CITY_NAME_PELLA, 6.0, UNIT_SCOUT, 6.0, 30, 0.0
2, LOC_CITY_NAME_TENOCHTITLAN, 4.8, UNIT_SCOUT, 4.8, 30, 0.0
2, LOC_CITY_NAME_ANGKOR_THOM, 4.8, UNIT_SCOUT, 4.8, 30, 0.0
2, LOC_CITY_NAME_WASHINGTON, 6.0, UNIT_SCOUT, 6.0, 30, 0.0
2, LOC_CITY_NAME_QUSQU, 6.0, UNIT_SCOUT, 6.0, 30, 0.0
2, LOC_CITY_NAME_LONDON, 4.8, UNIT_SCOUT, 4.8, 30, 0.0
2, LOC_CITY_NAME_MOHENJO_DARO, 2.5, BUILDING_MONUMENT, 2.5, 60, 0.0
2, LOC_CITY_NAME_TARUGA, 2.5, BUILDING_MONUMENT, 2.5, 60, 0.0
2, LOC_CITY_NAME_ANTIOCH, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_KUMASI, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_AUCKLAND, 3.0, BUILDING_MONUMENT, 3.0, 60, 0.0
2, LOC_CITY_NAME_ANTANANARIVO, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_BOLOGNA, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_SAMARKAND, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_LISBON, 2.5, BUILDING_MONUMENT, 2.5, 60, 0.0
2, LOC_CITY_NAME_HUNZA, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_PRESLAV, 2.5, BUILDING_MONUMENT, 2.5, 60, 0.0
2, LOC_CITY_NAME_BRUSSELS, 2.5, BUILDING_MONUMENT, 2.5, 60, 0.0
2, LOC_CITY_NAME_BANDAR_BRUNEI, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_SINGAPORE, 4.5, UNIT_SLINGER, 4.5, 35, 0.0
2, LOC_CITY_NAME_AYUTTHAYA, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
3, LOC_CITY_NAME_OTTAWA, 4.8, UNIT_SCOUT, 9.6, 30, 0.0
3, LOC_CITY_NAME_WASHINGTON, 6.0, UNIT_SCOUT, 12.0, 30, 0.0
3, LOC_CITY_NAME_NARANJO, 3.6, UNIT_SCOUT, 3.6, 30, 0.0
3, LOC_CITY_NAME_ANTIOCH, 2.0, BUILDING_MONUMENT, 4.0, 60, 0.0
3, LOC_CITY_NAME_BOLOGNA, 2.0, BUILDING_MONUMENT, 4.0, 60, 0.0
4, LOC_CITY_NAME_OTTAWA, 4.8, UNIT_SCOUT, 14.4, 30, 0.0
4, LOC_CITY_NAME_PELLA, 12.0, UNIT_BUILDER, 12.0, 50, 0.0
4, LOC_CITY_NAME_TENOCHTITLAN, 9.6, UNIT_BUILDER, 9.6, 54, 0.0
4, LOC_CITY_NAME_ANGKOR_THOM, 9.6, UNIT_BUILDER, 9.6, 50, 0.0
