Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
3, 10, 63, 1:1, 131073:196610, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 3, 37, 30
4, 10, 63, 1:1, 131073:196610, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, 3, 40, 23
4, 14, 63, 1:1, 196610:851980, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 34, 21
4, 14, 63, 1:1, 131073:851980, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 4, 35, 26
4, 17, 63, 1:1, 196610:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 12, 40, 16
4, 22, 63, 1:1, 196610:720906, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 9, 47, 23
3, 10, 63, 1:1, 196610:393221, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -2, 19, 38
3, 17, 63, 1:1, 262147:524295, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 22, 38
3, 17, 63, 1:1, 327684:524295, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -4, 16, 60
4, 1, 63, 1:1, 327684:589832, UNIT_GAUL_GAESATAE, UNIT_SPEARMAN, 20, 25, 21, 6, 16, 50
4, 17, 63, 3:1, 65536:524295, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 10, 0, -12, 0, 40
5, 1, 63, 1:1, 327684:589832, UNIT_GAUL_GAESATAE, UNIT_SPEARMAN, 20, 25, 19, 1, 17, 56
5, 14, 63, 1:1, 131073:1179665, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 17, 46
8, 21, 63, 3:1, 65536:786443, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, 0, 0, 8
8, 24, 63, 1:1, 196610:131073, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 23, 49
9, 6, 63, 1:1, 262147:458758, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 9, 9, 43, 29
9, 6, 63, 1:1, 393221:458758, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 9, 6, 27, 32
9, 7, 63, 1:1, 327684:851980, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 9, 6, 27, 31
