Game Turn, From, To, Initiator, Type, SubType, Message
8, 2, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
8, 2, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
8, 2, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
8, 4, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
8, 4, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
8, 4, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
12, 2, 4, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
18, 4, 2, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
21, 4, 2, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
21, 4, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
21, 4, 2, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
27, 5, 0, -1, FIRST_MEET_NO_MANS, NONE, 00000000, Requesting Session (B)
27, 5, 0, 5, FIRST_MEET_NO_MANS, NONE, INITIAL, Adding to pending
27, 5, 0, 5, FIRST_MEET_NO_MANS, NONE, INITIAL, Processing Statement
27, 5, 0, 5, FIRST_MEET_NO_MANS, NONE, INITIAL, Processing Immediately
27, 0, 5, 5, FIRST_MEET_NO_MANS, NONE, POSITIVE, Adding to pending
27, 0, 5, 5, FIRST_MEET_NO_MANS, NONE, POSITIVE, Broadcasting
27, 0, 5, 5, FIRST_MEET_NO_MANS, NONE, POSITIVE, Processing Statement
27, 0, 5, 5, FIRST_MEET_NO_MANS, NONE, POSITIVE, Processing Immediately
27, 5, 0, 5, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, 00000000, Adding to pending
27, 5, 0, 5, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, 00000000, Processing Statement
27, 5, 0, 5, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, 00000000, Processing Immediately
27, 0, 5, 5, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, POSITIVE, Adding to pending
27, 0, 5, 5, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, POSITIVE, Broadcasting
27, 0, 5, 5, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, POSITIVE, Processing Statement
27, 0, 5, 5, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, POSITIVE, Processing Immediately
27, 0, 5, ?, STATEMENT_RESULT, ffffffff, ?, Sending Action
27, 5, 0, ?, ?, ?, ?, Closing Session
27, 0, 5, ?, STATEMENT_RESULT, ffffffff, ?, Processing Action
32, 2, 4, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, 00000000, Requesting Session (B)
32, 2, 4, ?, MAKE_PROMISE, 9c55a0d8, ?, Processing Action From AI to AI
32, 2, 4, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
37, 3, 0, -1, FIRST_MEET_NEAR_RECIPIENT, NONE, 00000000, Requesting Session (B)
37, 3, 0, 3, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Adding to pending
37, 3, 0, 3, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Processing Statement
37, 3, 0, 3, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Processing Immediately
37, 0, 3, 3, FIRST_MEET_NEAR_RECIPIENT, NONE, POSITIVE, Adding to pending
37, 0, 3, 3, FIRST_MEET_NEAR_RECIPIENT, NONE, POSITIVE, Broadcasting
37, 0, 3, 3, FIRST_MEET_NEAR_RECIPIENT, NONE, POSITIVE, Processing Statement
37, 0, 3, 3, FIRST_MEET_NEAR_RECIPIENT, NONE, POSITIVE, Processing Immediately
37, 3, 0, 3, FIRST_MEET_VISIT_RECIPIENT, NONE, 00000000, Adding to pending
37, 3, 0, 3, FIRST_MEET_VISIT_RECIPIENT, NONE, 00000000, Processing Statement
37, 3, 0, 3, FIRST_MEET_VISIT_RECIPIENT, NONE, 00000000, Processing Immediately
37, 0, 3, 3, FIRST_MEET_VISIT_RECIPIENT, NONE, POSITIVE, Adding to pending
37, 0, 3, 3, FIRST_MEET_VISIT_RECIPIENT, NONE, POSITIVE, Broadcasting
37, 0, 3, 3, FIRST_MEET_VISIT_RECIPIENT, NONE, POSITIVE, Processing Statement
37, 0, 3, 3, FIRST_MEET_VISIT_RECIPIENT, NONE, POSITIVE, Processing Immediately
37, 0, 3, ?, STATEMENT_RESULT, ffffffff, ?, Sending Action
37, 3, 0, ?, ?, ?, ?, Closing Session
37, 0, 3, ?, STATEMENT_RESULT, ffffffff, ?, Processing Action
39, 4, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
39, 4, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
