Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
8, 2, 4, 당신에 대한 첫인상, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
8, 2,  4, 당신에 대한 첫인상, Deactivate
8, 2, 4, 같은 비밀 결사의 구성원, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
8, 4, 2, 당신에 대한 첫인상, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
8, 4,  2, 당신에 대한 첫인상, Deactivate
8, 4, 2, 같은 비밀 결사의 구성원, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
12, 4, 2, 상대방에게 대표단을 파견했음, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
15, 4, 2, 상대방 주변에 정착, Activate,   -3.0,   -3.0,    0.0, 0, 10,   -1.0
18, 2, 4, 양국 간의 교역로, Activate,    2.0,    2.0,    1.0, 0, 0,    1.0
18, 2, 4, 당신에 대한 첫인상, Update,   -1.0
18, 4, 2, 양국 간의 교역로, Activate,    2.0,    2.0,    1.0, 0, 0,    1.0
18, 4, 2, 당신에 대한 첫인상, Update,   -1.0
18, 2, 4, 상대방에게 대표단을 파견했음, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
21, 4, 2, 영토가 넓은 제국 존중, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
27, 5, 0, 당신에 대한 첫인상, Activate,   -5.0,   -5.0,    1.0, 0, 10,    1.0
27, 5,  0, 당신에 대한 첫인상, Deactivate
28, 2, 4, 당신에 대한 첫인상, Update,    0.0
28, 4, 2, 당신에 대한 첫인상, Update,    0.0
32, 2, 4, 당신의 병력이 그들의 국경에 위치했음, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
32, 2, 4, 상대방 땅 주변에 병력을 이동, Activate,   -4.0,   -4.0,    0.0, 0, 0,    1.0
33, 2, 4, 상대방에게 병력 철수 맹약을 하지 않기로 함, Activate,   -3.0,   -3.0,    0.0, 0, 10,    1.0
33, 2,  4, 상대방에게 병력 철수 맹약을 하지 않기로 함, Deactivate
33, 4, 2, 상대방 주변에 정착, Activate,   -6.0,   -6.0,    0.0, 0, 10,   -1.0
33, 4, 2, 영토가 넓은 제국 존중, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
33, 5, 0, 우호적인 만남, Activate,    2.0,    2.0,    1.0, 0, 10,   -1.0
34, 4, 2, 영토가 넓은 제국 존중, Activate,    8.0,    8.0,    1.0, 0, 0,    1.0
35, 4, 2, 영토가 넓은 제국 존중, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
37, 0, 3, 당신에 대한 첫인상, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
37, 0,  3, 당신에 대한 첫인상, Deactivate
37, 0, 5, 우호적인 만남, Activate,    2.0,    2.0,    1.0, 0, 10,   -1.0
37, 3, 0, 당신에 대한 첫인상, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
37, 3,  0, 당신에 대한 첫인상, Deactivate
37, 5, 0, 당신에 대한 첫인상, Update,   -4.0
38, 2,  4, 당신의 병력이 그들의 국경에 위치했음, Deactivate
39, 2, 4, 상대방 땅 주변에 병력을 이동, Activate,   -4.0,   -4.0,    0.0, 0, 0,    1.0
39, 4, 2, 생산성이 낮은 문명을 싫어함, Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
40, 2, 4, 상대방 주변에 정착, Activate,   -3.0,   -3.0,    0.0, 0, 10,   -1.0
40, 4, 2, 영토가 넓은 제국 존중, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
41, 4, 2, 생산성이 낮은 문명을 싫어함, Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
42, 2, 4, 상대방에게 병력 철수 맹약을 하지 않기로 함, Update,   -2.0
44, 6, 8, 당신에 대한 첫인상, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
44, 6,  8, 당신에 대한 첫인상, Deactivate
44, 6, 8, 경쟁 비밀 결사의 구성원, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
44, 8, 6, 당신에 대한 첫인상, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
44, 8,  6, 당신에 대한 첫인상, Deactivate
44, 8, 6, 경쟁 비밀 결사의 구성원, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
45, 1, 8, 당신에 대한 첫인상, Activate,   -3.0,   -3.0,    1.0, 0, 10,    1.0
45, 1,  8, 당신에 대한 첫인상, Deactivate
45, 1, 8, 암비오릭스는 자신보다 군사 유닛이 많은 문명을 좋아하고, 적은 문명을 싫어합니다., Activate,    4.0,    4.0,    1.0, 0, 0,    1.0
45, 8, 1, 당신에 대한 첫인상, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
45, 8,  1, 당신에 대한 첫인상, Deactivate
45, 4, 2, 다른 부지런한 문명을 만나 기뻐함, Activate,    6.0,    6.0,    1.0, 0, 0,   -1.0
46, 2, 4, 양국 간의 교역로, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
46, 2, 4, 당신에 대한 적대감, Activate,  -30.0,  -30.0,    1.0, 0, 2,   -1.0
46, 3, 0, 당신에 대한 첫인상, Update,   -1.0
46, 4, 2, 양국 간의 교역로, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
46, 6, 9, 당신에 대한 첫인상, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
46, 6,  9, 당신에 대한 첫인상, Deactivate
46, 9, 6, 당신에 대한 첫인상, Activate,    2.0,    2.0,    1.0, 0, 10,    1.0
46, 9,  6, 당신에 대한 첫인상, Deactivate
47, 0, 3, 당신에 대한 첫인상, Update,   -1.0
47, 3, 0, 몬테수마는 자신에게 없는 당신의 사치 자원이 공격에 적합한 목표라 여김, Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
47, 5, 0, 당신에 대한 첫인상, Update,   -3.0
48, 8, 1, 상대방에게 대표단을 파견했음, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
48, 2, 4, 당신의 병력이 그들의 국경에 위치했음, Update,   -1.0
48, 6, 8, 당신의 야만인 주둔지 제거를 기뻐함, Activate,    6.0,    6.0,    1.0, 0, 0,   -1.0
48, 6, 9, 당신의 야만인 주둔지 제거를 기뻐함, Activate,    6.0,    6.0,    1.0, 0, 0,   -1.0
49, 4, 2, 생산성이 낮은 문명을 싫어함, Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
50, 4, 2, 영토가 넓은 제국 존중, Activate,    8.0,    8.0,    1.0, 0, 0,    1.0
51, 2, 5, 당신에 대한 첫인상, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
51, 2,  5, 당신에 대한 첫인상, Deactivate
51, 2, 5, 같은 비밀 결사의 구성원, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
51, 5, 2, 당신에 대한 첫인상, Activate,   -3.0,   -3.0,    1.0, 0, 10,    1.0
51, 5,  2, 당신에 대한 첫인상, Deactivate
51, 5, 2, 같은 비밀 결사의 구성원, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
51, 4, 2, 영토가 넓은 제국 존중, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
51, 4, 6, 당신에 대한 첫인상, Activate,    2.0,    2.0,    1.0, 0, 10,    1.0
51, 4,  6, 당신에 대한 첫인상, Deactivate
51, 6, 4, 당신에 대한 첫인상, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
51, 6,  4, 당신에 대한 첫인상, Deactivate
51, 6, 4, 경쟁 비밀 결사의 구성원, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
51, 6, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -15.0,  -15.0,    1.0, 0, 0,    1.0
52, 2, 4, 상대방에게 병력 철수 맹약을 하지 않기로 함, Update,   -1.0
53, 5, 2, 상대방에게 대표단을 파견했음, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
53, 1, 8, 상대방에게 대표단을 파견했음, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
54, 4, 2, 영토가 넓은 제국 존중, Activate,    8.0,    8.0,    1.0, 0, 0,    1.0
54, 2, 5, 상대방에게 대표단을 파견했음, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
54, 6, 8, 당신이 주변 문명과의 평화를 유지하여 로버트 1세가 기뻐함, Activate,    2.0,   10.0,    1.0, 10, 0,   -1.0
54, 6, 8, 당신에 대한 첫인상, Update,    0.0
54, 8, 6, 찬드라굽타는 당신의 제국이 자신의 제국에서 멀리 있어 기뻐함, Activate,    5.0,   15.0,    1.0, 5, 0,   -1.0
54, 8, 1, 당신에 대한 첫인상, Update,    0.0
54, 8, 6, 당신에 대한 첫인상, Update,    0.0
55, 1, 8, 당신에 대한 첫인상, Update,   -2.0
55, 3, 0, 양국 간의 교역로, Activate,    2.0,    2.0,    1.0, 0, 0,    1.0
55, 4, 2, 영토가 넓은 제국 존중, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
