Game Turn, Initiator, Recipient, Action, Details, Mayhem, Visibility
1, 63, 0, Met, ,    0.0, 0
1, 0, 63, Met, ,    0.0, 0
1, 63, 0, At War, Surprise,    0.0, 0
1, 63, 1, Met, ,    0.0, 0
1, 1, 63, Met, ,    0.0, 0
1, 63, 1, At War, Surprise,    0.0, 0
1, 63, 2, Met, ,    0.0, 0
1, 2, 63, Met, ,    0.0, 0
1, 63, 2, At War, Surprise,    0.0, 0
1, 63, 3, Met, ,    0.0, 0
1, 3, 63, Met, ,    0.0, 0
1, 63, 3, At War, Surprise,    0.0, 0
1, 63, 4, Met, ,    0.0, 0
1, 4, 63, Met, ,    0.0, 0
1, 63, 4, At War, Surprise,    0.0, 0
1, 63, 5, Met, ,    0.0, 0
1, 5, 63, Met, ,    0.0, 0
1, 63, 5, At War, Surprise,    0.0, 0
1, 63, 6, Met, ,    0.0, 0
1, 6, 63, Met, ,    0.0, 0
1, 63, 6, At War, Surprise,    0.0, 0
1, 63, 7, Met, ,    0.0, 0
1, 7, 63, Met, ,    0.0, 0
1, 63, 7, At War, Surprise,    0.0, 0
1, 63, 8, Met, ,    0.0, 0
1, 8, 63, Met, ,    0.0, 0
1, 63, 8, At War, Surprise,    0.0, 0
1, 63, 9, Met, ,    0.0, 0
1, 9, 63, Met, ,    0.0, 0
1, 63, 9, At War, Surprise,    0.0, 0
1, 63, 10, Met, ,    0.0, 0
1, 10, 63, Met, ,    0.0, 0
1, 63, 10, At War, Surprise,    0.0, 0
1, 63, 11, Met, ,    0.0, 0
1, 11, 63, Met, ,    0.0, 0
1, 63, 11, At War, Surprise,    0.0, 0
1, 63, 12, Met, ,    0.0, 0
1, 12, 63, Met, ,    0.0, 0
1, 63, 12, At War, Surprise,    0.0, 0
1, 63, 13, Met, ,    0.0, 0
1, 13, 63, Met, ,    0.0, 0
1, 63, 13, At War, Surprise,    0.0, 0
1, 63, 14, Met, ,    0.0, 0
1, 14, 63, Met, ,    0.0, 0
1, 63, 14, At War, Surprise,    0.0, 0
1, 62, 0, Met, ,    0.0, 0
1, 0, 62, Met, ,    0.0, 0
1, 62, 0, At War, Surprise,    0.0, 0
1, 62, 1, Met, ,    0.0, 0
1, 1, 62, Met, ,    0.0, 0
1, 62, 1, At War, Surprise,    0.0, 0
1, 62, 2, Met, ,    0.0, 0
1, 2, 62, Met, ,    0.0, 0
1, 62, 2, At War, Surprise,    0.0, 0
1, 62, 3, Met, ,    0.0, 0
1, 3, 62, Met, ,    0.0, 0
1, 62, 3, At War, Surprise,    0.0, 0
1, 62, 4, Met, ,    0.0, 0
1, 4, 62, Met, ,    0.0, 0
1, 62, 4, At War, Surprise,    0.0, 0
1, 62, 5, Met, ,    0.0, 0
1, 5, 62, Met, ,    0.0, 0
1, 62, 5, At War, Surprise,    0.0, 0
1, 63, 0, Met, ,    0.0, 0
1, 0, 63, Met, ,    0.0, 0
1, 63, 0, At War, Surprise,    0.0, 0
1, 63, 1, Met, ,    0.0, 0
1, 1, 63, Met, ,    0.0, 0
1, 63, 1, At War, Surprise,    0.0, 0
1, 63, 2, Met, ,    0.0, 0
1, 2, 63, Met, ,    0.0, 0
1, 63, 2, At War, Surprise,    0.0, 0
1, 63, 3, Met, ,    0.0, 0
1, 3, 63, Met, ,    0.0, 0
1, 63, 3, At War, Surprise,    0.0, 0
1, 63, 4, Met, ,    0.0, 0
1, 4, 63, Met, ,    0.0, 0
1, 63, 4, At War, Surprise,    0.0, 0
1, 63, 5, Met, ,    0.0, 0
1, 5, 63, Met, ,    0.0, 0
1, 63, 5, At War, Surprise,    0.0, 0
1, 63, 6, Met, ,    0.0, 0
1, 6, 63, Met, ,    0.0, 0
1, 63, 6, At War, Surprise,    0.0, 0
1, 63, 7, Met, ,    0.0, 0
1, 7, 63, Met, ,    0.0, 0
1, 63, 7, At War, Surprise,    0.0, 0
1, 63, 8, Met, ,    0.0, 0
1, 8, 63, Met, ,    0.0, 0
1, 63, 8, At War, Surprise,    0.0, 0
1, 63, 9, Met, ,    0.0, 0
1, 9, 63, Met, ,    0.0, 0
1, 63, 9, At War, Surprise,    0.0, 0
1, 63, 10, Met, ,    0.0, 0
1, 10, 63, Met, ,    0.0, 0
1, 63, 10, At War, Surprise,    0.0, 0
1, 63, 11, Met, ,    0.0, 0
1, 11, 63, Met, ,    0.0, 0
1, 63, 11, At War, Surprise,    0.0, 0
1, 63, 12, Met, ,    0.0, 0
1, 12, 63, Met, ,    0.0, 0
1, 63, 12, At War, Surprise,    0.0, 0
1, 63, 13, Met, ,    0.0, 0
1, 13, 63, Met, ,    0.0, 0
1, 63, 13, At War, Surprise,    0.0, 0
1, 63, 14, Met, ,    0.0, 0
1, 14, 63, Met, ,    0.0, 0
1, 63, 14, At War, Surprise,    0.0, 0
1, 63, 15, Met, ,    0.0, 0
1, 15, 63, Met, ,    0.0, 0
1, 63, 15, At War, Surprise,    0.0, 0
1, 63, 16, Met, ,    0.0, 0
1, 16, 63, Met, ,    0.0, 0
1, 63, 16, At War, Surprise,    0.0, 0
1, 63, 17, Met, ,    0.0, 0
1, 17, 63, Met, ,    0.0, 0
1, 63, 17, At War, Surprise,    0.0, 0
1, 63, 18, Met, ,    0.0, 0
1, 18, 63, Met, ,    0.0, 0
1, 63, 18, At War, Surprise,    0.0, 0
1, 63, 19, Met, ,    0.0, 0
1, 19, 63, Met, ,    0.0, 0
1, 63, 19, At War, Surprise,    0.0, 0
1, 63, 20, Met, ,    0.0, 0
1, 20, 63, Met, ,    0.0, 0
1, 63, 20, At War, Surprise,    0.0, 0
1, 63, 21, Met, ,    0.0, 0
1, 21, 63, Met, ,    0.0, 0
1, 63, 21, At War, Surprise,    0.0, 0
1, 63, 22, Met, ,    0.0, 0
1, 22, 63, Met, ,    0.0, 0
1, 63, 22, At War, Surprise,    0.0, 0
1, 63, 23, Met, ,    0.0, 0
1, 23, 63, Met, ,    0.0, 0
1, 63, 23, At War, Surprise,    0.0, 0
1, 63, 24, Met, ,    0.0, 0
1, 24, 63, Met, ,    0.0, 0
1, 63, 24, At War, Surprise,    0.0, 0
1, 62, 0, Met, ,    0.0, 0
1, 0, 62, Met, ,    0.0, 0
1, 62, 0, At War, Surprise,    0.0, 0
1, 62, 1, Met, ,    0.0, 0
1, 1, 62, Met, ,    0.0, 0
1, 62, 1, At War, Surprise,    0.0, 0
1, 62, 2, Met, ,    0.0, 0
1, 2, 62, Met, ,    0.0, 0
1, 62, 2, At War, Surprise,    0.0, 0
1, 62, 3, Met, ,    0.0, 0
1, 3, 62, Met, ,    0.0, 0
1, 62, 3, At War, Surprise,    0.0, 0
1, 62, 4, Met, ,    0.0, 0
1, 4, 62, Met, ,    0.0, 0
1, 62, 4, At War, Surprise,    0.0, 0
1, 62, 5, Met, ,    0.0, 0
1, 5, 62, Met, ,    0.0, 0
1, 62, 5, At War, Surprise,    0.0, 0
1, 62, 6, Met, ,    0.0, 0
1, 6, 62, Met, ,    0.0, 0
1, 62, 6, At War, Surprise,    0.0, 0
1, 62, 7, Met, ,    0.0, 0
1, 7, 62, Met, ,    0.0, 0
1, 62, 7, At War, Surprise,    0.0, 0
1, 62, 8, Met, ,    0.0, 0
1, 8, 62, Met, ,    0.0, 0
1, 62, 8, At War, Surprise,    0.0, 0
1, 62, 9, Met, ,    0.0, 0
1, 9, 62, Met, ,    0.0, 0
1, 62, 9, At War, Surprise,    0.0, 0
2, 7, 11, Met, ,    0.0, 0
2, 11, 7, Met, ,    0.0, 0
2, 7, 11, Gave Influence, ,    0.0, 0
3, 3, 10, Met, ,    0.0, 0
3, 10, 3, Met, ,    0.0, 0
3, 3, 10, Gave Influence, ,    0.0, 0
3, 18, 4, Met, ,    0.5, 0
3, 4, 18, Met, ,    0.5, 0
3, 4, 18, Gave Influence, ,    0.5, 0
4, 15, 6, Met, ,    2.0, 0
4, 6, 15, Met, ,    2.0, 0
4, 6, 15, Gave Influence, ,    2.0, 0
1, 63, 0, Met, ,    0.0, 0
1, 0, 63, Met, ,    0.0, 0
1, 63, 0, At War, Surprise,    0.0, 0
1, 63, 1, Met, ,    0.0, 0
1, 1, 63, Met, ,    0.0, 0
1, 63, 1, At War, Surprise,    0.0, 0
1, 63, 2, Met, ,    0.0, 0
1, 2, 63, Met, ,    0.0, 0
1, 63, 2, At War, Surprise,    0.0, 0
1, 63, 3, Met, ,    0.0, 0
1, 3, 63, Met, ,    0.0, 0
1, 63, 3, At War, Surprise,    0.0, 0
1, 63, 4, Met, ,    0.0, 0
1, 4, 63, Met, ,    0.0, 0
1, 63, 4, At War, Surprise,    0.0, 0
1, 63, 5, Met, ,    0.0, 0
1, 5, 63, Met, ,    0.0, 0
1, 63, 5, At War, Surprise,    0.0, 0
1, 63, 6, Met, ,    0.0, 0
1, 6, 63, Met, ,    0.0, 0
1, 63, 6, At War, Surprise,    0.0, 0
1, 63, 7, Met, ,    0.0, 0
1, 7, 63, Met, ,    0.0, 0
1, 63, 7, At War, Surprise,    0.0, 0
1, 63, 8, Met, ,    0.0, 0
1, 8, 63, Met, ,    0.0, 0
1, 63, 8, At War, Surprise,    0.0, 0
1, 63, 9, Met, ,    0.0, 0
1, 9, 63, Met, ,    0.0, 0
1, 63, 9, At War, Surprise,    0.0, 0
1, 63, 10, Met, ,    0.0, 0
1, 10, 63, Met, ,    0.0, 0
1, 63, 10, At War, Surprise,    0.0, 0
1, 63, 11, Met, ,    0.0, 0
1, 11, 63, Met, ,    0.0, 0
1, 63, 11, At War, Surprise,    0.0, 0
1, 63, 12, Met, ,    0.0, 0
1, 12, 63, Met, ,    0.0, 0
1, 63, 12, At War, Surprise,    0.0, 0
1, 63, 13, Met, ,    0.0, 0
1, 13, 63, Met, ,    0.0, 0
1, 63, 13, At War, Surprise,    0.0, 0
1, 63, 14, Met, ,    0.0, 0
1, 14, 63, Met, ,    0.0, 0
1, 63, 14, At War, Surprise,    0.0, 0
1, 63, 15, Met, ,    0.0, 0
1, 15, 63, Met, ,    0.0, 0
1, 63, 15, At War, Surprise,    0.0, 0
1, 63, 16, Met, ,    0.0, 0
1, 16, 63, Met, ,    0.0, 0
1, 63, 16, At War, Surprise,    0.0, 0
1, 63, 17, Met, ,    0.0, 0
1, 17, 63, Met, ,    0.0, 0
1, 63, 17, At War, Surprise,    0.0, 0
1, 63, 18, Met, ,    0.0, 0
1, 18, 63, Met, ,    0.0, 0
1, 63, 18, At War, Surprise,    0.0, 0
1, 63, 19, Met, ,    0.0, 0
1, 19, 63, Met, ,    0.0, 0
1, 63, 19, At War, Surprise,    0.0, 0
1, 63, 20, Met, ,    0.0, 0
1, 20, 63, Met, ,    0.0, 0
1, 63, 20, At War, Surprise,    0.0, 0
1, 63, 21, Met, ,    0.0, 0
1, 21, 63, Met, ,    0.0, 0
1, 63, 21, At War, Surprise,    0.0, 0
1, 63, 22, Met, ,    0.0, 0
1, 22, 63, Met, ,    0.0, 0
1, 63, 22, At War, Surprise,    0.0, 0
1, 63, 23, Met, ,    0.0, 0
1, 23, 63, Met, ,    0.0, 0
1, 63, 23, At War, Surprise,    0.0, 0
1, 63, 24, Met, ,    0.0, 0
1, 24, 63, Met, ,    0.0, 0
1, 63, 24, At War, Surprise,    0.0, 0
1, 62, 0, Met, ,    0.0, 0
1, 0, 62, Met, ,    0.0, 0
1, 62, 0, At War, Surprise,    0.0, 0
1, 62, 1, Met, ,    0.0, 0
1, 1, 62, Met, ,    0.0, 0
1, 62, 1, At War, Surprise,    0.0, 0
1, 62, 2, Met, ,    0.0, 0
1, 2, 62, Met, ,    0.0, 0
1, 62, 2, At War, Surprise,    0.0, 0
1, 62, 3, Met, ,    0.0, 0
1, 3, 62, Met, ,    0.0, 0
1, 62, 3, At War, Surprise,    0.0, 0
1, 62, 4, Met, ,    0.0, 0
