Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_BOUDICA, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_THEMISTOCLES, GREAT_PERSON_CLASS_ADMIRAL, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_IMHOTEP, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 120, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_CONFUCIUS, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHANG_HENG, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_OVID, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MICHELANGELO, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 240, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_DIMITRIE_CANTEMIR, GREAT_PERSON_CLASS_MUSICIAN, ERA_INDUSTRIAL, 420, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_SUN_TZU, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_THEMISTOCLES, GREAT_PERSON_CLASS_ADMIRAL, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 120, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_CONFUCIUS, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHANG_HENG, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_OVID, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MICHELANGELO, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 240, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ANTONIO_VIVALDI, GREAT_PERSON_CLASS_MUSICIAN, ERA_INDUSTRIAL, 420, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_BOUDICA, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HANNO_THE_NAVIGATOR, GREAT_PERSON_CLASS_ADMIRAL, ERA_CLASSICAL, 60, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 120, -1, -1
1, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 60, -1, -1
