Turn, Event, Origin Civ, Destination Civ, Total Tokens Given
2, Token used by 7, 7, 11, 1
3, Token used by 3, 3, 10, 1
3, Token used by 4, 4, 18, 1
4, Token used by 6, 6, 15, 1
2, Token used by 0, 0, 23, 1
1, Token used by 9, 9, 22, 1
2, Token used by 1, 1, 12, 1
2, Token used by 9, 9, 24, 1
3, Token used by 3, 3, 15, 1
3, Token used by 5, 5, 18, 1
3, Token used by 6, 6, 23, 1
3, Token used by 7, 7, 16, 1
3, Token used by 8, 8, 21, 1
3, Token used by 8, 8, 20, 1
4, Token used by 4, 4, 11, 1
4, Token used by 4, 4, 10, 1
5, Token used by 0, 0, 13, 1
7, Token used by 9, 9, 22, 2
8, Token used by 6, 6, 17, 1
16, Token used by 9, 9, 22, 5
17, Token used by 0, 0, 14, 1
17, Token used by 5, 5, 18, 4
17, Token used by 7, 7, 19, 1
18, Token used by 6, 6, 23, 2
26, Token used by 7, 7, 16, 2
27, Token used by 0, 0, 13, 2
35, Token used by 4, 4, 11, 2
43, Token used by 0, 0, 13, 3
43, Unique Bonus received by 0, 0, 13, 3
44, Token used by 2, 2, 11, 1
56, Token used by 1, 1, 21, 1
57, Token used by 8, 8, 20, 4
58, Token used by 5, 5, 18, 5
58, Token used by 7, 7, 16, 3
58, Unique Bonus received by 7, 7, 16, 3
61, Token used by 5, 5, 13, 1
61, Token used by 8, 8, 20, 5
65, Token used by 4, 4, 11, 3
65, Token used by 6, 6, 23, 3
65, Unique Bonus received by 6, 6, 23, 3
65, Token used by 9, 9, 22, 6
68, Token used by 2, 2, 11, 4
68, Unique Bonus received by 2, 2, 11, 4
73, Token used by 7, 7, 16, 4
74, Token used by 6, 6, 10, 2
75, Token used by 5, 5, 10, 1
87, Token used by 6, 6, 14, 2
89, Token used by 1, 1, 21, 2
89, Token used by 1, 1, 12, 4
91, Token used by 6, 6, 17, 4
91, Token used by 7, 7, 19, 2
92, Token used by 0, 0, 15, 1
92, Token used by 3, 3, 24, 2
93, Token used by 1, 1, 20, 1
94, Token used by 5, 5, 10, 2
94, Token used by 8, 8, 20, 6
96, Token used by 1, 1, 12, 5
97, Token used by 1, 1, 12, 6
97, Token used by 5, 5, 10, 3
97, Token used by 9, 9, 22, 7
98, Token used by 1, 1, 20, 2
99, Token used by 4, 4, 20, 2
99, Token used by 6, 6, 17, 5
99, Token used by 9, 9, 24, 2
101, Token used by 2, 2, 10, 1
101, Token used by 6, 6, 13, 2
101, Token used by 7, 7, 12, 1
102, Token used by 0, 0, 13, 4
102, Unique Bonus received by 0, 0, 13, 4
102, Token used by 7, 7, 19, 3
102, Unique Bonus received by 7, 7, 19, 3
103, Token used by 3, 3, 24, 3
103, Unique Bonus received by 3, 3, 24, 3
106, Token used by 7, 7, 15, 1
107, Token used by 5, 5, 10, 4
107, Unique Bonus received by 5, 5, 10, 4
107, Token used by 9, 9, 24, 3
108, Token used by 4, 4, 10, 4
112, Token used by 5, 5, 18, 4
118, Token used by 8, 8, 23, 1
120, Token used by 6, 6, 22, 2
120, Token used by 9, 9, 23, 1
122, Token used by 0, 0, 15, 2
123, Token used by 1, 1, 20, 3
125, Token used by 7, 7, 15, 2
125, Token used by 8, 8, 23, 2
126, Token used by 3, 3, 24, 4
126, Unique Bonus received by 3, 3, 24, 4
128, Token used by 3, 3, 24, 5
128, Token used by 3, 3, 24, 6
128, Token used by 5, 5, 10, 5
128, Unique Bonus received by 5, 5, 10, 5
128, Token used by 8, 8, 23, 3
131, Token used by 0, 0, 15, 3
131, Unique Bonus received by 0, 0, 15, 3
131, Token used by 6, 6, 17, 6
132, Token used by 4, 4, 20, 3
132, Token used by 6, 6, 13, 3
132, Token used by 9, 9, 23, 2
133, Token used by 5, 5, 10, 6
135, Token used by 2, 2, 13, 3
136, Token used by 4, 4, 20, 6
137, Token used by 5, 5, 18, 5
137, Token used by 7, 7, 22, 1
142, Token used by 0, 0, 13, 5
143, Token used by 1, 1, 15, 1
144, Token used by 2, 2, 13, 4
144, Token used by 9, 9, 10, 1
145, Token used by 2, 2, 13, 5
145, Token used by 8, 8, 20, 7
145, Unique Bonus received by 8, 8, 20, 7
147, Token used by 4, 4, 20, 7
147, Token used by 4, 4, 20, 8
147, Unique Bonus received by 4, 4, 20, 8
149, Token used by 2, 2, 13, 6
149, Unique Bonus received by 2, 2, 13, 6
