Turn, SecretSociety, Event
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 6 (chance = 100 out of 100)
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 6
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 9 (chance = 95 out of 100)
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 9
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 0 (chance = 90 out of 100)
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 0
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Player 6 Joins
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 7 (chance = 80 out of 100)
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 7
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Player 9 Joins
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 3 (chance = 60 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 3
3, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 3 (chance = 56 out of 100)
3, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 3
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 4 (chance = 40 out of 100)
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 3 Joins
4, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 6 (chance = 40 out of 100)
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 0 (chance = 100 out of 100)
1, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 0
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 0 (chance = 64 out of 100)
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 0
1, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 9 (chance = 80 out of 100)
1, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 9
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 1 (chance = 100 out of 100)
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 1
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 1 (chance = 60 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 3 (chance = 76 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 5 (chance = 60 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 5
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 6 (chance = 72 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 7 (chance = 56 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 7
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 8 (chance = 68 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 8
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 0 (chance = 70 out of 100)
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 0
4, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 4 (chance = 64 out of 100)
