Player,FromPlayer,Delta,New Total Weariness,Reason
2, 4, 16, 16, Attacking
2, 4, 32, 48, Attacking
2, 4, 32, 80, Attacking
4, 2, 32, 32, Attacking
4, 2, 32, 64, Attacking
4, 2, 32, 96, Attacking
2, 4, -50, 30, At War Decay
2, 4, 16, 46, Attacking
2, 4, 32, 78, Attacking
4, 2, -50, 46, At War Decay
4, 2, 16, 62, Attacking
2, 4, -50, 28, At War Decay
2, 4, 50, 78, Attacking
2, 4, 50, 128, Attacking
2, 4, 50, 178, Attacking
4, 2, -50, 12, At War Decay
4, 2, 25, 37, Attacking
4, 2, 25, 62, Attacking
4, 2, 50, 112, Attacking
4, 2, 50, 162, Attacking
2, 4, -50, 128, At War Decay
4, 2, -50, 112, At War Decay
4, 2, 25, 137, Attacking
2, 4, -50, 78, At War Decay
2, 4, 50, 128, Attacking
4, 2, -50, 87, At War Decay
4, 2, 50, 137, Attacking
4, 2, 50, 187, Attacking
4, 2, 50, 237, Attacking
2, 4, -50, 78, At War Decay
2, 4, 50, 128, Attacking
4, 2, -50, 187, At War Decay
4, 2, 25, 212, Attacking
4, 2, 50, 262, Attacking
2, 4, -50, 78, At War Decay
2, 4, 125, 203, Attacking
2, 4, 50, 253, Attacking
4, 2, -50, 212, At War Decay
2, 4, -50, 203, At War Decay
2, 4, 50, 253, Attacking
4, 2, -50, 162, At War Decay
2, 4, -50, 203, At War Decay
2, 4, 50, 253, Attacking
4, 2, -50, 112, At War Decay
4, 2, 50, 162, Attacking
2, 4, -50, 203, At War Decay
2, 4, 50, 253, Attacking
4, 2, -50, 112, At War Decay
4, 2, 50, 162, Attacking
2, 4, -50, 203, At War Decay
2, 4, 50, 253, Attacking
4, 2, -50, 112, At War Decay
4, 2, 125, 237, Attacking
4, 2, 50, 287, Attacking
2, 4, -50, 203, At War Decay
4, 2, -50, 237, At War Decay
4, 2, 25, 262, Attacking
4, 2, 50, 312, Attacking
4, 2, 50, 362, Attacking
2, 4, -50, 153, At War Decay
2, 4, 50, 203, Attacking
4, 2, -50, 312, At War Decay
4, 2, 50, 362, Attacking
4, 2, 50, 412, Attacking
2, 4, -50, 153, At War Decay
2, 4, 50, 203, Attacking
2, 4, 50, 253, Attacking
4, 2, -50, 362, At War Decay
4, 2, 25, 387, Attacking
4, 2, 100, 487, Attacking
4, 2, 50, 537, Attacking
2, 4, -50, 203, At War Decay
2, 4, 50, 253, Attacking
4, 2, -50, 487, At War Decay
2, 4, -50, 203, At War Decay
4, 2, -50, 437, At War Decay
2, 4, -50, 153, At War Decay
4, 2, -50, 387, At War Decay
4, 2, 25, 412, Attacking
2, 4, -50, 103, At War Decay
4, 2, -50, 362, At War Decay
4, 2, 100, 462, Attacking
2, 4, -50, 53, At War Decay
4, 2, -50, 412, At War Decay
2, 4, -50, 3, At War Decay
2, 4, 25, 28, Attacking
2, 4, 25, 53, Attacking
4, 2, -50, 362, At War Decay
11, 4, -2000, 0, We Made Peace
4, 11, -2000, 0, They Made Peace
11, 10, -2000, 0, We Made Peace
10, 11, -2000, 0, They Made Peace
2, 4, -50, 3, At War Decay
4, 2, -50, 312, At War Decay
2, 4, -50, 0, At War Decay
4, 2, -50, 262, At War Decay
4, 2, -50, 212, At War Decay
4, 2, -50, 162, At War Decay
4, 2, -50, 112, At War Decay
4, 2, -50, 62, At War Decay
4, 2, 50, 112, Attacking
4, 2, -50, 62, At War Decay
4, 2, 50, 112, Attacking
2, 4, -2000, 0, We Made Peace
4, 2, -2000, 0, They Made Peace
10, 2, -2000, 0, We Made Peace
2, 10, -2000, 0, They Made Peace
11, 4, -2000, 0, We Made Peace
4, 11, -2000, 0, They Made Peace
