Game Turn, Range, Value, Seed, Type, Location
1, 49, 30, 3401565115, sync, Choose random civilization
1, 1, 0, 2666234072, sync, Choose random civilization/leader combo
1, 48, 43, 3935820849, sync, Choose random civilization
1, 1, 0, 3869630230, sync, Choose random civilization/leader combo
1, 47, 2, 3751600279, sync, Choose random civilization
1, 1, 0, 235131524, sync, Choose random civilization/leader combo
1, 46, 5, 2010974829, sync, Choose random civilization
1, 1, 0, 530110114, sync, Choose random civilization/leader combo
1, 45, 14, 683994931, sync, Choose random civilization
1, 1, 0, 1361941232, sync, Choose random civilization/leader combo
1, 48, 19, 147644521, sync, Unknown
1, 47, 12, 1708243694, sync, Unknown
1, 46, 18, 1129663375, sync, Unknown
1, 45, 42, 1743842844, sync, Unknown
1, 44, 12, 4022999589, sync, Unknown
1, 43, 14, 1252169722, sync, Unknown
1, 42, 36, 1457852843, sync, Unknown
1, 41, 1, 3761033224, sync, Unknown
1, 40, 17, 145175457, sync, Unknown
1, 39, 24, 1886534086, sync, Unknown
1, 38, 10, 2741050759, sync, Unknown
1, 37, 9, 1153623220, sync, Unknown
1, 36, 14, 1071802589, sync, Unknown
1, 35, 2, 1732783186, sync, Unknown
1, 34, 26, 279448355, sync, Unknown
1, 33, 10, 3406010400, sync, Unknown
1, 32, 24, 1369552345, sync, Unknown
1, 31, 3, 3323509662, sync, Unknown
1, 30, 12, 468072063, sync, Unknown
1, 29, 14, 1792677452, sync, Unknown
1, 28, 15, 2087638677, sync, Unknown
1, 27, 6, 2362504106, sync, Unknown
1, 26, 7, 1051835291, sync, Unknown
1, 25, 15, 1303923512, sync, Unknown
1, 24, 14, 2746435345, sync, Unknown
1, 23, 15, 2602737782, sync, Unknown
1, 22, 5, 2884007543, sync, Unknown
1, 21, 2, 1078125284, sync, Unknown
1, 20, 15, 502547277, sync, Unknown
1, 19, 18, 3356511746, sync, Unknown
1, 18, 10, 4265739027, sync, Unknown
1, 17, 2, 2461878608, sync, Unknown
1, 16, 14, 718194505, sync, Unknown
1, 15, 3, 3862513742, sync, Unknown
1, 14, 8, 884981103, sync, Unknown
1, 13, 10, 2486545020, sync, Unknown
1, 12, 9, 3434319621, sync, Unknown
1, 11, 1, 3236272986, sync, Unknown
1, 10, 5, 414499211, sync, Unknown
1, 9, 4, 2490430056, sync, Unknown
1, 8, 6, 2187531905, sync, Unknown
1, 7, 6, 3721532198, sync, Unknown
1, 6, 0, 3920358247, sync, Unknown
1, 5, 0, 412536084, sync, Unknown
1, 4, 2, 472488381, sync, Unknown
1, 3, 2, 2411477938, sync, Unknown
1, 2, 1, 3942766339, sync, Unknown
1, 1, 0, 2929567360, sync, Unknown
1, 48, 31, 2832929977, sync, Unknown
1, 47, 8, 2779668734, sync, Unknown
1, 46, 25, 792780895, sync, Unknown
1, 45, 9, 2339809964, sync, Unknown
1, 44, 33, 915358581, sync, Unknown
1, 43, 31, 3272314634, sync, Unknown
1, 42, 36, 3174900603, sync, Unknown
1, 41, 36, 3757688216, sync, Unknown
1, 40, 6, 3810370033, sync, Unknown
1, 39, 35, 744198614, sync, Unknown
1, 38, 21, 3941629015, sync, Unknown
1, 37, 17, 2425463620, sync, Unknown
1, 36, 20, 2019126317, sync, Unknown
1, 35, 18, 2497115490, sync, Unknown
1, 34, 24, 2316732147, sync, Unknown
1, 33, 18, 3148328880, sync, Unknown
1, 32, 7, 2416811561, sync, Unknown
1, 31, 8, 951256494, sync, Unknown
1, 30, 6, 1116249935, sync, Unknown
1, 29, 28, 986715868, sync, Unknown
1, 28, 8, 4223202277, sync, Unknown
1, 27, 5, 1345179322, sync, Unknown
1, 26, 1, 911860075, sync, Unknown
1, 25, 23, 179684552, sync, Unknown
1, 24, 15, 3960072545, sync, Unknown
1, 23, 18, 2807700614, sync, Unknown
1, 22, 5, 3417516359, sync, Unknown
1, 21, 1, 1170630004, sync, Unknown
1, 20, 18, 337296029, sync, Unknown
1, 19, 4, 3869997842, sync, Unknown
1, 18, 2, 946803427, sync, Unknown
1, 17, 13, 496919776, sync, Unknown
1, 16, 13, 3295503257, sync, Unknown
1, 15, 2, 3628217950, sync, Unknown
1, 14, 13, 729152063, sync, Unknown
1, 13, 9, 4281659148, sync, Unknown
1, 12, 8, 3114770517, sync, Unknown
1, 11, 7, 3052886634, sync, Unknown
1, 10, 8, 2950298459, sync, Unknown
1, 9, 0, 3452432376, sync, Unknown
1, 8, 2, 453962961, sync, Unknown
1, 7, 1, 1277735734, sync, Unknown
1, 6, 5, 632484407, sync, Unknown
1, 5, 4, 3767014308, sync, Unknown
1, 4, 1, 3838084365, sync, Unknown
1, 3, 2, 2101660866, sync, Unknown
1, 2, 0, 3971644115, sync, Unknown
1, 1, 0, 788842000, sync, Unknown
1, 2, 0, 3116459273, sync, Choosing a random cost for a civic to have
1, 2, 0, 1914106638, sync, Choosing a random cost for a civic to have
1, 2, 1, 480768303, sync, Choosing a random cost for a civic to have
1, 2, 1, 3629658940, sync, Choosing a random cost for a civic to have
1, 2, 1, 3650242757, sync, Choosing a random cost for a civic to have
1, 1, 0, 2194879002, sync, Choosing how many prerequisites for a civic to have
1, 100, 94, 1733062987, sync, Choosing a random prerequisite for a civic to have
