Game Turn, Mode, Player, Unit, Operation
Unit operation handler a92585ad, is disabled
Unit operation handler 6e290af6, is disabled
Unit operation handler 8c676517, is disabled
Unit operation handler a92585ad, is disabled
Unit operation handler 6e290af6, is disabled
Unit operation handler 8c676517, is disabled
001, Adding, 0, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
001, Adding, 0, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Adding, 0, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Adding, 1, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Can't Start, 1, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Adding, 1, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 1, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
001, Adding, 1, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 2, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Can't Start, 2, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Adding, 2, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 2, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
001, Adding, 2, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 3, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Can't Start, 3, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Adding, 3, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 3, UNIT_AZTEC_EAGLE_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
001, Adding, 3, UNIT_AZTEC_EAGLE_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 4, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Can't Start, 4, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Adding, 4, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 4, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
001, Adding, 4, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 5, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Can't Start, 5, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Adding, 5, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
001, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 6, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Adding, 6, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Can't Start, 6, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 6, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
001, Adding, 6, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Can't Start, 6, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 7, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Can't Start, 7, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Adding, 7, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 7, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
001, Adding, 7, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 8, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Can't Start, 8, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Adding, 8, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 8, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
001, Adding, 8, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 9, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
001, Adding, 9, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Can't Start, 9, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 9, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
001, Adding, 9, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Can't Start, 9, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 10, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 10, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 10, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 11, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 11, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 11, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 12, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 12, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 12, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 13, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 13, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 13, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 14, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 14, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 14, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 15, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 15, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 15, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 16, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 16, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 16, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 17, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 17, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 17, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 18, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 18, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 18, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 19, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 19, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 19, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 20, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 20, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 20, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 21, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 21, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 21, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 22, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 22, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 22, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 23, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 23, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 23, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
001, Adding, 24, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
001, Adding, 24, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
001, Adding, 24, UNIT_WARRIOR (196610), UNITOPERATION_SKIP_TURN (36)
002, Adding, 0, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
002, Adding, 0, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 1, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 1, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
002, Adding, 2, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 2, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
002, Adding, 3, UNIT_AZTEC_EAGLE_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 3, UNIT_AZTEC_EAGLE_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
002, Adding, 4, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 4, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
002, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
002, Adding, 6, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
002, Can't Start, 6, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
002, Adding, 6, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
002, Adding, 6, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 6, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
002, Adding, 7, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 7, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
002, Adding, 8, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 8, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
002, Adding, 9, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
002, Adding, 9, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
002, Can't Start, 9, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
